ProcedureURN,ProcedureID,Active,Procedures,Description
1301,DP071ZZ	,1,BEAM RADIATION OF RADIUS/ULNA USING PHOTONS 1 - 10 MEV	,
1308,DD072ZZ	,1,BEAM RADIATION OF RECTUM USING PHOTONS >10 MEV	,NULL
1309,DD071ZZ	,1,BEAM RADIATION OF RECTUM USING PHOTONS 1 - 10 MEV	,NULL
1310,DP053ZZ	,1,BEAM RADIATION OF RIB(S) USING ELECTRONS	,NULL
1317,DP051ZZ	,1,BEAM RADIATION OF RIB(S) USING PHOTONS 1 - 10 MEV	,NULL
1318,DM013ZZ	,1,BEAM RADIATION OF RIGHT BREAST USING ELECTRONS	,NULL
1324,DM012ZZ	,1,BEAM RADIATION OF RIGHT BREAST USING PHOTONS >10 MEV	,NULL
1325,DM011ZZ	,1,BEAM RADIATION OF RIGHT BREAST USING PHOTONS 1 - 10 MEV	,NULL
1348,DP002ZZ	,1,BEAM RADIATION OF SKULL USING PHOTONS >10 MEV	,NULL
1364,D0062ZZ	,1,BEAM RADIATION OF SPINAL CORD USING PHOTONS >10 MEV	,NULL
1365,D0061ZZ	,1,BEAM RADIATION OF SPINAL CORD USING PHOTONS 1 - 10 MEV	,NULL
1374,DP043ZZ	,1,BEAM RADIATION OF STERNUM USING ELECTRONS	,NULL
1388,DD012ZZ	,1,BEAM RADIATION OF STOMACH USING PHOTONS >10 MEV	,NULL
1404,D7052ZZ	,1,BEAM RADIATION OF THORAX LYMPHATICS USING PHOTONS >10 MEV	,NULL
1435,D9052ZZ	,1,BEAM RADIATION OF TONGUE USING PHOTONS >10 MEV	,NULL
1445,DT013ZZ	,1,BEAM RADIATION OF URETER USING ELECTRONS	,NULL
1446,DT013Z0	,1,BEAM RADIATION OF URETER USING ELECTRONS; INTRAOPERATIVE	,NULL
1447,DT014ZZ	,1,BEAM RADIATION OF URETER USING HEAVY PARTICLES (PROTONS;IONS)	,NULL
1448,DT016ZZ	,1,BEAM RADIATION OF URETER USING NEUTRON CAPTURE	,NULL
1449,DT015ZZ	,1,BEAM RADIATION OF URETER USING NEUTRONS	,NULL
1450,DT010ZZ	,1,BEAM RADIATION OF URETER USING PHOTONS <1 MEV	,NULL
1451,DT012ZZ	,1,BEAM RADIATION OF URETER USING PHOTONS >10 MEV	,NULL
1452,DT011ZZ	,1,BEAM RADIATION OF URETER USING PHOTONS 1 - 10 MEV	,NULL
1453,DT033ZZ	,1,BEAM RADIATION OF URETHRA USING ELECTRONS	,NULL
1454,DT033Z0	,1,BEAM RADIATION OF URETHRA USING ELECTRONS; INTRAOPERATIVE	,NULL
1455,DT034ZZ	,1,BEAM RADIATION OF URETHRA USING HEAVY PARTICLES (PROTONS;IONS)	,NULL
1456,DT036ZZ	,1,BEAM RADIATION OF URETHRA USING NEUTRON CAPTURE	,NULL
1457,DT035ZZ	,1,BEAM RADIATION OF URETHRA USING NEUTRONS	,NULL
1458,DT030ZZ	,1,BEAM RADIATION OF URETHRA USING PHOTONS <1 MEV	,NULL
1459,DT032ZZ	,1,BEAM RADIATION OF URETHRA USING PHOTONS >10 MEV	,NULL
1460,DT031ZZ	,1,BEAM RADIATION OF URETHRA USING PHOTONS 1 - 10 MEV	,NULL
1475,DW052ZZ	,1,BEAM RADIATION OF WHOLE BODY USING PHOTONS >10 MEV	,NULL
1492,0GT40ZZ,1,BILATERAL ADRENALECTOMY,NULL
1493,0TT20ZZ	,1,BILATERAL RADICAL NEPHRECTOMY 	,NULL
1494,0UT77ZZ	,1,BILATERAL SALPINGECTOMY,NULL
1495,0VBC0ZZ	,1,BILATERAL SUBCAPSULAR ORCHIDECTOMY,NULL
1496,0FHD4DZ	,1,BILIARY STENTING (PERCUTANEOUS ENDOSCOPIC),NULL
1515,0WBF3ZX	,1,BIOPSY OF ABDOMINAL WALL; PERCUTANEOUS; DIAGNOSTIC,NULL
1516,0DB78ZX	,1,BIOPSY OF ANTRUM ; ENDOSCOPIC; DIAGNOSTIC	,NULL
1517,0CB43ZX	,1,BIOPSY OF CHEEK,NULL
1518,0DBM8ZX	,1,BIOPSY OF DESCENDING COLON; DIAGNOSTIC	,NULL
1519,0DB58ZX	,1,BIOPSY OF ESOPHAGUS,NULL
1520,0CB23ZX	,1,BIOPSY OF HARD PALATE; PERCUTANEOUS; DIAGNOSTIC	,NULL
1521,0DBA8ZX	,1,BIOPSY OF JEJUNUM; ENDOSCOPIC; DIAGNOSTIC	,NULL
1522,07B60ZX	,1,BIOPSY OF LEFT AXILLARY LYMPHATIC; OPEN;DIAGNOSTIC,NULL
1523,04BJ0ZX	,1,"BIOPSY OF LEFT EXTERNAL ILIAC ARTERY;OPEN,DIAGNOST",NULL
1524,0XB93ZX	,1,BIOPSY OF LEFT FOREARM; PERCUTANEOUS; DIAGNOSTIC,NULL
1525,0TB18ZX	,1,BIOPSY OF LEFT KIDNEY; ENDOSCOPIC; DIAGNOSTIC	,NULL
1526,0FB23ZX	,1,BIOPSY OF LEFT LOBE LIVER; PERCUTANEOUS ;DIAGNOSTI,NULL
1527,0BBL3ZX	,1,BIOPSY OF LEFT LUNG; PERCUTANEOUS DIAGNOSTIC	,NULL
1528,0QBP0ZZ	,1,BIOPSY OF LEFT METATARSAL; OPEN APPROACH	,NULL
1529,07B23ZX	,1,BIOPSY OF LEFT NECK LYMPHATIC; PERCUTANEOUS,NULL
1530,04BA0ZX	,1,BIOPSY OF LEFT RENAL ARTERY; OPEN; DIAGNOSTIC,NULL
1531,06BB0ZX	,1,BIOPSY OF LEFT RENAL VEIN; OPEN ; DIAGNOSTIC,NULL
1532,0QBH0ZX	,1,BIOPSY OF LEFT TIBIA; OPEN APPROACH; DIAGNOSTIC	,NULL
1533,0FB00ZX	,1,BIOPSY OF LIVER; OPEN APPROACH; DIAGNOSTIC	,NULL
1534,09BKXZZ	,1,BIOPSY OF NOSE; EXTERNAL APPROACH,NULL
1535,0JBB0ZX	,1,BIOPSY OF PERIANAL SUBCUTANEOUS NODULE ;DIAGNOSTIC,NULL
1536,0DBP8ZX	,1,BIOPSY OF RECTUM;ENDOSCOPIC; DIAGNOSTIC	,NULL
1537,09B0XZX	,1,BIOPSY OF RIGHT EXTERNAL EAR (DIAGNOSTIC)	,NULL
1538,07BH3ZX	,1,BIOPSY OF RIGHT INGUINAL LYMPH NODE;PERCUTANEOUS;D,NULL
1539,0BBK3ZX	,1,BIOPSY OF RIGHT LUNG; DIAGNOSTIC	,NULL
1540,0BBN4ZX	,1,BIOPSY OF RIGHT PLEURA;ENDOSCOPIC ;DIAGNOSTIC,NULL
1541,0TB63ZX	,1,BIOPSY OF RIGHT URETER;DIAGNOSTIC	,NULL
1542,0DB68ZX	,1,BIOPSY OF STOMACH,NULL
1543,0DBC8ZX	,1,BIOPSY OF TERMINAL ILEUM,NULL
1544,0CB73ZX	,1,BIOPSY OF TONGUE; PERCUTANEOUS; DIAGNOSTIC	,NULL
1545,0DB18ZX	,1,BIOPSY OF UPPER ESOPHAGUS,NULL
1546,0UB98ZX	,1,BIOPSY OF UTERUS (ENDOSCOPIC) ; DIAGNOSTIC	,NULL
1547,0HB0XZX	,1,BIOPY OF SCALP SKIN;DIAGNOSTIC	,NULL
1552,0TBB8ZX,1,BLADDER BIOPSY (DIAGNOSTIC),NULL
1553,0T7B8ZZ	,1,BLADDER DISTENTION,NULL
1554,0TQB0ZZ,1,BLADDER REPAIR; OPEN APPROACH,NULL
1555,4A0D8LZ,1,BLADDER VOLUME(CYSTOSCOPIC),NULL
1556,3E1K88Z	,1,BLADDER WASH+CLOTS REMOVAL,NULL
1557,0TBC8ZZ,1,BNI (BLADDER NECK INSCISION),NULL
1558,0T180ZB	,1,BOARI FLAP B/L,NULL
1559,0T170ZB	,1,BOARI FLAP L,NULL
1560,0T160ZB	,1,BOARI FLAP R,NULL
1561,318094,1,BRACHIO/RADIAL BYPASS GRAFTING,NULL
1562,BRT-00007,1,BRACHYTHERAPY 7 SESSION,NULL
1568,0B9L8ZX	,1,"BRONCHIOALVEOLAR LAVAGE,LEFT LUNG",NULL
1569,0B9K8ZX	,1,"BRONCHIOALVEOLAR LAVAGE,RIGHT LUNG",NULL
1570,0B9M8ZX	,1,BRONCHOALVEOLAR LAVAGE ;ENDOSCOPIC; DIAGNOSTIC	,NULL
1571,0B9C8ZX	,1,BRONCHOALVEOLER LAVAGE ; DIAGNOSTIC	,NULL
1572,0BJK8ZZ	,1,BRONCHOSCOPY OF RIGHT LUNG; ENDOSCOPIC,NULL
1573,0QCG0ZZ	,1,BULLET REMOVAL FROM TIBIA BONE,NULL
1574,0D18074,1,BY PAS SMALL INSTESTIN TO CUTANOUS OPEN,NULL
1594,04104Z8	,1,BYPASS ABDOMINAL AORTA TO BILATERAL COMMON ILIAC ARTERIES; PERCUTANEOUS ENDOSCOPIC APPROACH	,NULL
1645,410094,1,"BYPASS ABDOMINAL AORTA TO L RENAL ARTEY, OPEN APRO",NULL
1652,04100J7	,1,BYPASS ABDOMINAL AORTA TO LEFT COMMON ILIAC ARTERY WITH SYNTHETIC SUBSTITUTE; OPEN APPROACH	,
1654,04100Z7	,1,BYPASS ABDOMINAL AORTA TO LEFT COMMON ILIAC ARTERY; OPEN APPROACH	,
1732,04100J6	,1,BYPASS ABDOMINAL AORTA TO RIGHT COMMON ILIAC ARTERY WITH SYNTHETIC SUBSTITUTE; OPEN APPROACH	,NULL
1754,04100ZH	,1,BYPASS ABDOMINAL AORTA TO RIGHT FEMORAL ARTERY; OPEN APPROACH	,NULL
1873,0T180Z8	,1,BYPASS B/L URETERS TO COLON / MENZ II PROCEDURE,NULL
1875,0T1847B	,1,BYPASS BILATERAL URETERS TO BLADDER WITH AUTOLOGOUS TISSUE SUBSTITUTE; PERCUTANEOUS ENDOSCOPIC APPROACH	,NULL
1887,0T180Z9	,1,BYPASS BILATERAL URETERS TO COLOCUTANEOUS; OPEN APPROACH	,
1889,0T18078	,1,BYPASS BILATERAL URETERS TO COLON WITH AUTOLOGOUS TISSUE SUBSTITUTE; OPEN APPROACH	,NULL
1896,0T1847D	,1,BYPASS BILATERAL URETERS TO CUTANEOUS WITH AUTOLOGOUS TISSUE SUBSTITUTE; PERCUTANEOUS ENDOSCOPIC APPROACH	,
1899,0T180JD	,1,BYPASS BILATERAL URETERS TO CUTANEOUS WITH SYNTHETIC SUBSTITUTE; OPEN APPROACH	,NULL
1902,0T184ZD	,1,BYPASS BILATERAL URETERS TO CUTANEOUS; PERCUTANEOUS ENDOSCOPIC APPROACH	,
1903,0T1807C	,1,BYPASS BILATERAL URETERS TO ILEOCUTANEOUS WITH AUTOLOGOUS TISSUE SUBSTITUTE; OPEN APPROACH	,NULL
1904,0T1847C	,1,BYPASS BILATERAL URETERS TO ILEOCUTANEOUS WITH AUTOLOGOUS TISSUE SUBSTITUTE; PERCUTANEOUS ENDOSCOPIC APPROACH	,NULL
1909,0T184ZC	,1,BYPASS BILATERAL URETERS TO ILEOCUTANEOUS; PERCUTANEOUS ENDOSCOPIC APPROACH	,
1910,0T1807A	,1,BYPASS BILATERAL URETERS TO ILEUM WITH AUTOLOGOUS TISSUE SUBSTITUTE; OPEN APPROACH	,NULL
1911,0T1847A	,1,BYPASS BILATERAL URETERS TO ILEUM WITH AUTOLOGOUS TISSUE SUBSTITUTE; PERCUTANEOUS ENDOSCOPIC APPROACH	,NULL
1916,0T180ZA	,1,BYPASS BILATERAL URETERS TO ILEUM; OPEN APPROACH	,NULL
